"airbnb_listing_id","latitude","longitude","aquisition_date","ano","mes","dia"
"41256200","-27.09811","-48.62715","2022-12-01","2022","12","01"
"23069834","-27.09727","-48.6266","2022-12-01","2022","12","01"
"54077587","-27.103344","-48.635139","2022-12-01","2022","12","01"
"40660728","-27.08735","-48.62828","2022-12-01","2022","12","01"
"39701120","-27.08659","-48.63669","2022-12-01","2022","12","01"
"39702236","-27.08672","-48.63695","2022-12-01","2022","12","01"
"39508136","-27.08601","-48.6365","2022-12-01","2022","12","01"
"770402903965942064","-27.08203","-48.61429","2022-12-01","2022","12","01"
"758059618209979073","-27.0808","-48.61515","2022-12-01","2022","12","01"
"41634696","-27.0827","-48.60887","2022-12-01","2022","12","01"
"31511990","-27.08377","-48.61115","2022-12-01","2022","12","01"
"53740866","-27.08345","-48.616516","2022-12-01","2022","12","01"
"712957378943503958","-27.07807","-48.61499","2022-12-01","2022","12","01"
"733855907068114161","-27.082505421865605","-48.61966855823994","2022-12-01","2022","12","01"
"5159357","-27.08253","-48.61317","2022-12-01","2022","12","01"
"54235622","-27.08419","-48.61514","2022-12-01","2022","12","01"
"753705661776365934","-27.08465","-48.61299","2022-12-01","2022","12","01"
"46275825","-27.08422","-48.61912","2022-12-01","2022","12","01"
"746338647684313347","-27.08309","-48.61657","2022-12-01","2022","12","01"
"53095970","-27.08052","-48.62437","2022-12-01","2022","12","01"
"52826100","-27.08027","-48.62286","2022-12-01","2022","12","01"
"53885820","-27.080639105813802","-48.614430874586105","2022-12-01","2022","12","01"
"746268050974638964","-27.08299","-48.61769","2022-12-01","2022","12","01"
"41762297","-27.08442","-48.61073","2022-12-01","2022","12","01"
"52903424","-27.0838","-48.61557","2022-12-01","2022","12","01"
"41457268","-27.08341","-48.60983","2022-12-01","2022","12","01"
"52905472","-27.08351","-48.61468","2022-12-01","2022","12","01"
"54005716","-27.09043","-48.64565","2022-12-01","2022","12","01"
"27248980","-27.09021","-48.6291","2022-12-01","2022","12","01"
"29365238","-27.09068","-48.61905","2022-12-01","2022","12","01"
"756315688365997518","-27.08916","-48.6192","2022-12-01","2022","12","01"
"733855907068114161","-27.082505421865605","-48.61966855823994","2022-12-01","2022","12","01"
"46275825","-27.08422","-48.61912","2022-12-01","2022","12","01"
"39701557","-27.0865","-48.63671","2022-12-01","2022","12","01"
"40289385","-27.08593","-48.62061","2022-12-01","2022","12","01"
"628340205412932131","-27.115776","-48.610996","2022-12-01","2022","12","01"
"39145712","-27.11617","-48.60829","2022-12-01","2022","12","01"
"44890294","-27.12901","-48.60069","2022-12-01","2022","12","01"
"46530405","-27.113792419433594","-48.6097526550293","2022-12-01","2022","12","01"
"8325723","-27.1291","-48.59985","2022-12-01","2022","12","01"
"17434239","-27.12827","-48.59886","2022-12-01","2022","12","01"
"45184991","-27.12521","-48.60412","2022-12-01","2022","12","01"
"41532894","-27.12496","-48.60491","2022-12-01","2022","12","01"
"50312140","-27.12471","-48.61887","2022-12-01","2022","12","01"
"769611751302045150","-27.12179","-48.61988","2022-12-01","2022","12","01"
"40236441","-27.1229","-48.61899","2022-12-01","2022","12","01"
"32185033","-27.12515","-48.62953","2022-12-01","2022","12","01"
"743462426129087538","-27.12439","-48.63529","2022-12-01","2022","12","01"
"771206653555577778","-27.10594","-48.61873","2022-12-01","2022","12","01"
"53674047","-27.09945","-48.62049","2022-12-01","2022","12","01"
"768918152709858204","-27.120069468600864","-48.620121851563454","2022-12-01","2022","12","01"
"50312140","-27.12471","-48.61887","2022-12-01","2022","12","01"
"40236441","-27.1229","-48.61899","2022-12-01","2022","12","01"
"769611751302045150","-27.12179","-48.61988","2022-12-01","2022","12","01"
"749906305739556786","-27.12213","-48.63193","2022-12-01","2022","12","01"
"38824444","-27.13265","-48.6194","2022-12-01","2022","12","01"
"769615154809715174","-27.12532","-48.61923","2022-12-01","2022","12","01"
"768918152709858204","-27.120069468600864","-48.620121851563454","2022-12-01","2022","12","01"
"53592531","-27.12502","-48.62327","2022-12-01","2022","12","01"
"624633946203904422","-27.154991","-48.593098","2022-12-01","2022","12","01"
"40923146","-27.15546","-48.58804","2022-12-01","2022","12","01"
"607093395651339162","-27.15738","-48.58787","2022-12-01","2022","12","01"
"40968694","-27.15663","-48.5893","2022-12-01","2022","12","01"
"47579191","-27.15556","-48.5895","2022-12-01","2022","12","01"
"30957478","-27.15611","-48.59077","2022-12-01","2022","12","01"
"50743214","-27.15682","-48.57889","2022-12-01","2022","12","01"
"688989834391341862","-27.1522","-48.57224","2022-12-01","2022","12","01"
"52666674","-27.15226","-48.57156","2022-12-01","2022","12","01"
"770166859449735630","-27.1483","-48.5797","2022-12-01","2022","12","01"
"48332300","-27.14933","-48.57653","2022-12-01","2022","12","01"
"22876986","-27.15278","-48.57561","2022-12-01","2022","12","01"
"28612430","-27.15298","-48.572","2022-12-01","2022","12","01"
"39132422","-27.14832","-48.58083","2022-12-01","2022","12","01"
"44377998","-27.1584","-48.56032","2022-12-01","2022","12","01"
"48379021","-27.15184","-48.57313","2022-12-01","2022","12","01"
"721156790377890389","-27.15837","-48.5712","2022-12-01","2022","12","01"
"49527447","-27.15151","-48.57356","2022-12-01","2022","12","01"
"770512976871686589","-27.15236","-48.57638","2022-12-01","2022","12","01"
"22401360","-27.15164","-48.57487","2022-12-01","2022","12","01"
"722556290324902184","-27.1529276","-48.5720869","2022-12-01","2022","12","01"
"40556586","-27.15997","-48.56457","2022-12-01","2022","12","01"
"48660818","-27.15336","-48.571243","2022-12-01","2022","12","01"
"53277044","-27.14921","-48.57665","2022-12-01","2022","12","01"
"46471869","-27.15741","-48.56907","2022-12-01","2022","12","01"
"622986798940783834","-27.15343","-48.57121","2022-12-01","2022","12","01"
"26258339","-27.15214","-48.57284","2022-12-01","2022","12","01"
"46318051","-27.14662","-48.58122","2022-12-01","2022","12","01"
"48252978","-27.1534","-48.57702","2022-12-01","2022","12","01"
"45515726","-27.153999","-48.573078","2022-12-01","2022","12","01"
"53415208","-27.15254","-48.57495","2022-12-01","2022","12","01"
"29851074","-27.154","-48.57308","2022-12-01","2022","12","01"
"47033568","-27.15753","-48.56967","2022-12-01","2022","12","01"
"46662931","-27.15378","-48.57308","2022-12-01","2022","12","01"
"49948623","-27.15338","-48.57107","2022-12-01","2022","12","01"
"46117077","-27.15508","-48.5706","2022-12-01","2022","12","01"
"41959142","-27.1527","-48.57478","2022-12-01","2022","12","01"
"50743214","-27.15682","-48.57889","2022-12-01","2022","12","01"
"46870908","-27.1583","-48.56394","2022-12-01","2022","12","01"
"51890745","-27.15538","-48.57319","2022-12-01","2022","12","01"
"47534033","-27.15741","-48.57429","2022-12-01","2022","12","01"
"760890719365873339","-27.15194","-48.57605","2022-12-01","2022","12","01"
"47221647","-27.15673","-48.57896","2022-12-01","2022","12","01"
"22406201","-27.15685","-48.57639","2022-12-01","2022","12","01"
"759376490684055561","-27.15303","-48.5733","2022-12-01","2022","12","01"
"53895742","-27.15708","-48.5641","2022-12-01","2022","12","01"
"31199819","-27.15232","-48.57152","2022-12-01","2022","12","01"
"740367579417162170","-27.15489","-48.57182","2022-12-01","2022","12","01"
"762206976417884246","-27.15412341110771","-48.57082352042198","2022-12-01","2022","12","01"
"48378774","-27.15359","-48.57176","2022-12-01","2022","12","01"
"508081388970673187","-27.15738","-48.56815","2022-12-01","2022","12","01"
"43283443","-27.14728","-48.58143","2022-12-01","2022","12","01"
"566658674780462356","-27.153652","-48.573181","2022-12-01","2022","12","01"
"47018336","-27.14866","-48.57909","2022-12-01","2022","12","01"
"41133526","-27.15971","-48.56703","2022-12-01","2022","12","01"
"39752508","-27.15808","-48.57548","2022-12-01","2022","12","01"
"31326954","-27.15803","-48.5744","2022-12-01","2022","12","01"
"756559950023917974","-27.1531","-48.57276","2022-12-01","2022","12","01"
"689452680635282056","-27.15366","-48.57816","2022-12-01","2022","12","01"
"10703351","-27.15472","-48.56658","2022-12-01","2022","12","01"
"47033043","-27.15891","-48.56942","2022-12-01","2022","12","01"
"53343878","-27.15666","-48.5675","2022-12-01","2022","12","01"
"52337033","-27.15767","-48.56973","2022-12-01","2022","12","01"
"754257225154659006","-27.15509","-48.57356","2022-12-01","2022","12","01"
"29571409","-27.152","-48.58027","2022-12-01","2022","12","01"
"53831507","-27.1547","-48.57845","2022-12-01","2022","12","01"
"31333893","-27.15663","-48.575","2022-12-01","2022","12","01"
"47471658","-27.15703","-48.5772","2022-12-01","2022","12","01"
"31556344","-27.14683","-48.58142","2022-12-01","2022","12","01"
"52618493","-27.15183","-48.57644","2022-12-01","2022","12","01"
"40121694","-27.1578","-48.56042","2022-12-01","2022","12","01"
"733119821798759162","-27.15454","-48.56896","2022-12-01","2022","12","01"
"46524716","-27.15148","-48.57503","2022-12-01","2022","12","01"
"52597718","-27.15197","-48.58153","2022-12-01","2022","12","01"
"54315426","-27.15991","-48.56088","2022-12-01","2022","12","01"
"30529269","-27.14722","-48.58127","2022-12-01","2022","12","01"
"47996620","-27.15032","-48.57796","2022-12-01","2022","12","01"
"54335217","-27.15404","-48.57393","2022-12-01","2022","12","01"
"765245467313300967","-27.148288680962917","-48.58012566190185","2022-12-01","2022","12","01"
"39895753","-27.14828","-48.58191","2022-12-01","2022","12","01"
"52731252","-27.1532","-48.57421","2022-12-01","2022","12","01"
"53547226","-27.15287","-48.58124","2022-12-01","2022","12","01"
"53601110","-27.148069","-48.580708","2022-12-01","2022","12","01"
"52494654","-27.15875","-48.57215","2022-12-01","2022","12","01"
"41687542","-27.15328","-48.57254","2022-12-01","2022","12","01"
"46567795","-27.1551","-48.57379","2022-12-01","2022","12","01"
"44850705","-27.15135","-48.57516","2022-12-01","2022","12","01"
"53113023","-27.1544","-48.56756","2022-12-01","2022","12","01"
"29927892","-27.15369","-48.57235","2022-12-01","2022","12","01"
"54184369","-27.15402","-48.58122","2022-12-01","2022","12","01"
"30911045","-27.15836","-48.5722","2022-12-01","2022","12","01"
"722502307424059072","-27.15817","-48.57642","2022-12-01","2022","12","01"
"703588047014101689","-27.1531","-48.57775","2022-12-01","2022","12","01"
"49022689","-27.148447","-48.580181","2022-12-01","2022","12","01"
"706628938108739065","-27.14887","-48.57727","2022-12-01","2022","12","01"
"753405028911465156","-27.157686747568405","-48.57120171189308","2022-12-01","2022","12","01"
"757170251145585262","-27.14889","-48.57903","2022-12-01","2022","12","01"
"763877808347292910","-27.156296","-48.5757094","2022-12-01","2022","12","01"
"39890282","-27.14882","-48.58036","2022-12-01","2022","12","01"
"709941676148126069","-27.158383981766985","-48.57975997030735","2022-12-01","2022","12","01"
"32223177","-27.15824","-48.56548","2022-12-01","2022","12","01"
"54323350","-27.15171","-48.57538","2022-12-01","2022","12","01"
"746436859865280928","-27.15435","-48.57366","2022-12-01","2022","12","01"
"39032502","-27.15522","-48.57529","2022-12-01","2022","12","01"
"697604363858806860","-27.15907","-48.56465","2022-12-01","2022","12","01"
"42314475","-27.1559","-48.56396","2022-12-01","2022","12","01"
"725297374488467181","-27.1556769","-48.5698942","2022-12-01","2022","12","01"
"21408639","-27.14995","-48.57904","2022-12-01","2022","12","01"
"47047563","-27.15276","-48.57562","2022-12-01","2022","12","01"
"763573160238279336","-27.155234366524972","-48.570385314524174","2022-12-01","2022","12","01"
"21034445","-27.14717","-48.58016","2022-12-01","2022","12","01"
"47088695","-27.15507","-48.58047","2022-12-01","2022","12","01"
"749348739677929615","-27.154","-48.57171","2022-12-01","2022","12","01"
"21933810","-27.1561","-48.56932","2022-12-01","2022","12","01"
"22644446","-27.15118","-48.57899","2022-12-01","2022","12","01"
"47077773","-27.15892","-48.57257","2022-12-01","2022","12","01"
"41564820","-27.15722","-48.57313","2022-12-01","2022","12","01"
"765058317290374900","-27.15441","-48.56622","2022-12-01","2022","12","01"
"689676675656498393","-27.156527631060897","-48.57030241904907","2022-12-01","2022","12","01"
"15810353","-27.15286","-48.58204","2022-12-01","2022","12","01"
"16791584","-27.15545","-48.56709","2022-12-01","2022","12","01"
"54077016","-27.1586886","-48.5720257","2022-12-01","2022","12","01"
"53335881","-27.15336","-48.57311","2022-12-01","2022","12","01"
"747127672964176132","-27.15092","-48.57702","2022-12-01","2022","12","01"
"749985265933568720","-27.1555975","-48.5735963","2022-12-01","2022","12","01"
"48466066","-27.15335","-48.57277","2022-12-01","2022","12","01"
"765224642879512785","-27.157","-48.57626","2022-12-01","2022","12","01"
"40933854","-27.15548","-48.56761","2022-12-01","2022","12","01"
"31945409","-27.15264","-48.57823","2022-12-01","2022","12","01"
"53455045","-27.15712","-48.57009","2022-12-01","2022","12","01"
"562866304058754758","-27.15439","-48.58122","2022-12-01","2022","12","01"
"747083479146515697","-27.15900475858416","-48.574909530580044","2022-12-01","2022","12","01"
"30317021","-27.15271","-48.57531","2022-12-01","2022","12","01"
"38103386","-27.15368","-48.57254","2022-12-01","2022","12","01"
"53804551","-27.15945","-48.56121","2022-12-01","2022","12","01"
"46660836","-27.15606","-48.5765","2022-12-01","2022","12","01"
"747077524859752875","-27.159174198339066","-48.575145564973354","2022-12-01","2022","12","01"
"32546485","-27.15307","-48.57421","2022-12-01","2022","12","01"
"46510662","-27.15228","-48.57289","2022-12-01","2022","12","01"
"31741842","-27.15803","-48.57641","2022-12-01","2022","12","01"
"53673115","-27.15724","-48.58049","2022-12-01","2022","12","01"
"745452304400007150","-27.15356","-48.57354","2022-12-01","2022","12","01"
"41870169","-27.15735","-48.56572","2022-12-01","2022","12","01"
"53189515","-27.15049","-48.57679","2022-12-01","2022","12","01"
"9486809","-27.15794","-48.56444","2022-12-01","2022","12","01"
"41861626","-27.15449","-48.56641","2022-12-01","2022","12","01"
"44647390","-27.15543","-48.56801","2022-12-01","2022","12","01"
"30377528","-27.15534","-48.58006","2022-12-01","2022","12","01"
"21924943","-27.15397","-48.56912","2022-12-01","2022","12","01"
"727690979248182603","-27.153811372376122","-48.5732113569975","2022-12-01","2022","12","01"
"46101184","-27.15612","-48.57597","2022-12-01","2022","12","01"
"32137927","-27.15511","-48.57849","2022-12-01","2022","12","01"
"22804067","-27.15344","-48.57477","2022-12-01","2022","12","01"
"724428366506928438","-27.15417","-48.5766","2022-12-01","2022","12","01"
"721173927860114947","-27.15641","-48.57681","2022-12-01","2022","12","01"
"649206843715415531","-27.15588","-48.56043","2022-12-01","2022","12","01"
"52768533","-27.15041","-48.57595","2022-12-01","2022","12","01"
"740418719355946535","-27.15611","-48.57087","2022-12-01","2022","12","01"
"708768335210938861","-27.15623","-48.57184","2022-12-01","2022","12","01"
"21479549","-27.1553","-48.57276","2022-12-01","2022","12","01"
"54165526","-27.15795","-48.56359","2022-12-01","2022","12","01"
"52630294","-27.15524","-48.56686","2022-12-01","2022","12","01"
"45912139","-27.1583","-48.57604","2022-12-01","2022","12","01"
"725181308200077596","-27.15639","-48.5762","2022-12-01","2022","12","01"
"624633946203904422","-27.154991","-48.593098","2022-12-01","2022","12","01"
"574492757967063347","-27.1457","-48.58387","2022-12-01","2022","12","01"
"41434073","-27.15435","-48.58852","2022-12-01","2022","12","01"
"41082173","-27.14446","-48.58806","2022-12-01","2022","12","01"
"41590719","-27.14307","-48.59441","2022-12-01","2022","12","01"
"744316645679535513","-27.14266","-48.58895","2022-12-01","2022","12","01"
"52881554","-27.14454","-48.58866","2022-12-01","2022","12","01"
"32006813","-27.15119","-48.59525","2022-12-01","2022","12","01"
"31924629","-27.14964","-48.59482","2022-12-01","2022","12","01"
"38800916","-27.15303","-48.59061","2022-12-01","2022","12","01"
"40958431","-27.14919","-48.5954","2022-12-01","2022","12","01"
"40968694","-27.15663","-48.5893","2022-12-01","2022","12","01"
"607093395651339162","-27.15738","-48.58787","2022-12-01","2022","12","01"
"611556315498200663","-27.151627","-48.587772","2022-12-01","2022","12","01"
"749934186668347864","-27.1516","-48.58834","2022-12-01","2022","12","01"
"53899162","-27.14542","-48.5879","2022-12-01","2022","12","01"
"41731457","-27.14423","-48.60151","2022-12-01","2022","12","01"
"757314444786674030","-27.14686","-48.58943","2022-12-01","2022","12","01"
"53916555","-27.15118","-48.59624","2022-12-01","2022","12","01"
"746233917442056449","-27.14976","-48.58653","2022-12-01","2022","12","01"
"41862633","-27.14712","-48.5898","2022-12-01","2022","12","01"
"573027888691871219","-27.1459938","-48.5833604","2022-12-01","2022","12","01"
"40923146","-27.15546","-48.58804","2022-12-01","2022","12","01"
"3977675","-27.14327","-48.60145","2022-12-01","2022","12","01"
"707817800293759087","-27.14875","-48.59201","2022-12-01","2022","12","01"
